Timestamp,Station_Name,Humidity,Temperature,Precipitation
1551615627.0,Asport CAPRED,52.0,17.8,0.0
1551616534.0,Asport CAPRED,49.0,17.7,0.0
1551617439.0,Asport CAPRED,48.0,17.3,0.0
1551618348.0,Asport CAPRED,49.0,17.2,0.0
1551619254.0,Asport CAPRED,50.0,17.8,0.0
1551620161.0,Asport CAPRED,50.0,18.1,0.0
1551621066.0,Asport CAPRED,48.0,18.1,0.0
1551622882.0,Asport CAPRED,46.0,18.0,0.0
1551623790.0,Asport CAPRED,47.0,17.7,0.0
1551624697.0,Asport CAPRED,47.0,17.5,0.0
1551625604.0,Asport CAPRED,45.0,16.7,0.0
1551626515.0,Asport CAPRED,47.0,17.1,0.0
1551627423.0,Asport CAPRED,50.0,17.1,0.0
1551628328.0,Asport CAPRED,50.0,16.8,0.0
1551629236.0,Asport CAPRED,47.0,16.5,0.0
1551630145.0,Asport CAPRED,49.0,16.0,0.0
1551631053.0,Asport CAPRED,51.0,15.4,0.0
1551631958.0,Asport CAPRED,56.0,14.8,0.0
1551632867.0,Asport CAPRED,62.0,14.3,0.0
1551633776.0,Asport CAPRED,65.0,13.6,0.0
1551634683.0,Asport CAPRED,67.0,12.9,0.0
1551635591.0,Asport CAPRED,69.0,12.4,0.0
1551636500.0,Asport CAPRED,71.0,11.9,0.0
1551637409.0,Asport CAPRED,72.0,11.4,0.0
1551638317.0,Asport CAPRED,75.0,10.8,0.0
1551639225.0,Asport CAPRED,78.0,10.5,0.0
1551640134.0,Asport CAPRED,80.0,10.2,0.0
1551641043.0,Asport CAPRED,82.0,10.1,0.0
1551641951.0,Asport CAPRED,85.0,10.1,0.0
1551642860.0,Asport CAPRED,87.0,10.1,0.0
1551643770.0,Asport CAPRED,88.0,10.3,0.0
1551644679.0,Asport CAPRED,89.0,10.8,0.0
1551645586.0,Asport CAPRED,89.0,11.1,0.0
1551646495.0,Asport CAPRED,89.0,11.3,0.0
1551647403.0,Asport CAPRED,89.0,11.3,0.0
1551648314.0,Asport CAPRED,89.0,11.3,0.0
1551649223.0,Asport CAPRED,89.0,11.1,0.0
1551650132.0,Asport CAPRED,89.0,10.9,0.0
1551651040.0,Asport CAPRED,90.0,10.8,0.0
1551652859.0,Asport CAPRED,90.0,10.7,0.0
1551653768.0,Asport CAPRED,90.0,10.7,0.0
1551654676.0,Asport CAPRED,90.0,10.8,0.0
1551655587.0,Asport CAPRED,90.0,10.9,0.0
1551656497.0,Asport CAPRED,89.0,11.1,0.0
1551657405.0,Asport CAPRED,89.0,11.2,0.0
1551665582.0,Asport CAPRED,86.0,10.6,0.0
1551666491.0,Asport CAPRED,85.0,10.7,0.0
1551667400.0,Asport CAPRED,84.0,10.8,0.0
1551668309.0,Asport CAPRED,82.0,10.8,0.0
1551669218.0,Asport CAPRED,78.0,10.7,0.0
1551670127.0,Asport CAPRED,79.0,10.7,0.0
1551671035.0,Asport CAPRED,79.0,10.6,0.0
1551671944.0,Asport CAPRED,79.0,10.3,0.0
1551672853.0,Asport CAPRED,80.0,10.0,0.0
1551673761.0,Asport CAPRED,81.0,10.0,0.0
1551674671.0,Asport CAPRED,82.0,9.8,0.0
1551675578.0,Asport CAPRED,82.0,9.8,0.0
1551676489.0,Asport CAPRED,81.0,9.9,0.0
1551677397.0,Asport CAPRED,81.0,9.7,0.0
1551678306.0,Asport CAPRED,80.0,9.6,0.0
1551679214.0,Asport CAPRED,79.0,9.7,0.0
1551680123.0,Asport CAPRED,79.0,9.8,0.0
1551681031.0,Asport CAPRED,79.0,10.0,0.0
1551681940.0,Asport CAPRED,79.0,9.9,0.0
1551682848.0,Asport CAPRED,79.0,9.8,0.0
1551683757.0,Asport CAPRED,80.0,9.7,0.0
1551684666.0,Asport CAPRED,80.0,9.7,0.0
1551686484.0,Asport CAPRED,82.0,10.1,0.0
1551687392.0,Asport CAPRED,82.0,10.4,0.0
1551688301.0,Asport CAPRED,82.0,10.7,0.0
1551689210.0,Asport CAPRED,81.0,11.0,0.0
1551690118.0,Asport CAPRED,80.0,11.1,0.0
1551691027.0,Asport CAPRED,80.0,11.5,0.0
1551691936.0,Asport CAPRED,77.0,12.0,0.0
1551692844.0,Asport CAPRED,78.0,12.7,0.0
1551693752.0,Asport CAPRED,76.0,13.2,0.0
1551694661.0,Asport CAPRED,74.0,12.8,0.0
1551695569.0,Asport CAPRED,74.0,12.5,0.0
1551696477.0,Asport CAPRED,74.0,13.2,0.0
1551697385.0,Asport CAPRED,70.0,14.6,0.0
1551698292.0,Asport CAPRED,61.0,14.8,0.0
1551699199.0,Asport CAPRED,63.0,14.9,0.0
1551700107.0,Asport CAPRED,60.0,15.7,0.0
1551701014.0,Asport CAPRED,53.0,16.3,0.0
1551701920.0,Asport CAPRED,44.0,16.3,0.0
1551702826.0,Asport CAPRED,43.0,16.9,0.0
1551703734.0,Asport CAPRED,42.0,17.1,0.0
1551704640.0,Asport CAPRED,40.0,17.4,0.0
1551705546.0,Asport CAPRED,38.0,17.6,0.0
1551706453.0,Asport CAPRED,37.0,17.4,0.0
1551707359.0,Asport CAPRED,38.0,16.4,0.0
1551708266.0,Asport CAPRED,39.0,15.9,0.0
1551709173.0,Asport CAPRED,40.0,16.0,0.0
1551710079.0,Asport CAPRED,39.0,16.4,0.0
1551710987.0,Asport CAPRED,40.0,16.1,0.0
1551711894.0,Asport CAPRED,39.0,16.7,0.0
1551712800.0,Asport CAPRED,41.0,16.9,0.0
1551713708.0,Asport CAPRED,42.0,16.5,0.0
1551714615.0,Asport CAPRED,43.0,16.3,0.0
1551715523.0,Asport CAPRED,42.0,16.1,0.0
1551716431.0,Asport CAPRED,44.0,15.6,0.0
1551717339.0,Asport CAPRED,43.0,15.6,0.0
1551718244.0,Asport CAPRED,45.0,15.2,0.0
1551719152.0,Asport CAPRED,46.0,14.8,0.0
1551720059.0,Asport CAPRED,47.0,14.3,0.0
1551720967.0,Asport CAPRED,47.0,14.0,0.0
1551721873.0,Asport CAPRED,47.0,13.5,0.0
1551722781.0,Asport CAPRED,42.0,13.5,0.0
1551723689.0,Asport CAPRED,42.0,13.6,0.0
1551724597.0,Asport CAPRED,42.0,13.3,0.0
1551725505.0,Asport CAPRED,43.0,12.9,0.0
1551726413.0,Asport CAPRED,44.0,12.9,0.0
1551727320.0,Asport CAPRED,45.0,12.6,0.0
1551728229.0,Asport CAPRED,46.0,12.6,0.0
1551730044.0,Asport CAPRED,49.0,11.8,0.0
1551730951.0,Asport CAPRED,51.0,11.5,0.0
1551731858.0,Asport CAPRED,50.0,11.4,0.0
1551732765.0,Asport CAPRED,50.0,11.5,0.0
1551733673.0,Asport CAPRED,52.0,10.9,0.0
1551734581.0,Asport CAPRED,54.0,10.5,0.0
1551735490.0,Asport CAPRED,56.0,10.2,0.0
1551736398.0,Asport CAPRED,58.0,9.9,0.0
1551737307.0,Asport CAPRED,57.0,10.5,0.0
1551738216.0,Asport CAPRED,56.0,10.7,0.0
1551739124.0,Asport CAPRED,56.0,10.8,0.0
1551740033.0,Asport CAPRED,57.0,10.5,0.0
1551740941.0,Asport CAPRED,57.0,10.5,0.0
1551741849.0,Asport CAPRED,56.0,10.6,0.0
1551743665.0,Asport CAPRED,53.0,11.5,0.0
1551751842.0,Asport CAPRED,60.0,10.2,0.0
1551752751.0,Asport CAPRED,61.0,10.1,0.0
1551753660.0,Asport CAPRED,62.0,9.8,0.0
1551754569.0,Asport CAPRED,64.0,9.2,0.0
1551756388.0,Asport CAPRED,65.0,9.3,0.0
1551757298.0,Asport CAPRED,64.0,9.5,0.0
1551758207.0,Asport CAPRED,64.0,9.4,0.0
1551759116.0,Asport CAPRED,64.0,9.3,0.0
1551760026.0,Asport CAPRED,64.0,9.4,0.0
1551760935.0,Asport CAPRED,64.0,9.5,0.0
1551761845.0,Asport CAPRED,65.0,9.3,0.0
1551762754.0,Asport CAPRED,67.0,8.9,0.0
1551763663.0,Asport CAPRED,67.0,8.8,0.0
1551764571.0,Asport CAPRED,67.0,8.6,0.0
1551765480.0,Asport CAPRED,70.0,8.2,0.0
1551766390.0,Asport CAPRED,71.0,7.9,0.0
1551767300.0,Asport CAPRED,71.0,7.9,0.0
1551768209.0,Asport CAPRED,71.0,8.1,0.0
1551769119.0,Asport CAPRED,71.0,8.2,0.0
1551770028.0,Asport CAPRED,71.0,8.3,0.0
1551770938.0,Asport CAPRED,71.0,8.6,0.0
1551771848.0,Asport CAPRED,69.0,9.1,0.0
1551773665.0,Asport CAPRED,62.0,10.9,0.0
1551774573.0,Asport CAPRED,59.0,11.6,0.0
1551775480.0,Asport CAPRED,58.0,11.9,0.0
1551776387.0,Asport CAPRED,57.0,12.3,0.0
1551777294.0,Asport CAPRED,57.0,12.7,0.0
1551778201.0,Asport CAPRED,54.0,12.9,0.0
1551779109.0,Asport CAPRED,54.0,13.3,0.0
1551780925.0,Asport CAPRED,51.0,13.7,0.0
1551781832.0,Asport CAPRED,49.0,14.4,0.0
1551782740.0,Asport CAPRED,48.0,14.3,0.0
1551783647.0,Asport CAPRED,49.0,14.7,0.0
1551784555.0,Asport CAPRED,48.0,14.8,0.0
1551786372.0,Asport CAPRED,48.0,15.8,0.0
1551787280.0,Asport CAPRED,47.0,15.5,0.0
1551788188.0,Asport CAPRED,48.0,16.0,0.0
1551789094.0,Asport CAPRED,46.0,15.9,0.0
1551790007.0,Asport CAPRED,46.0,16.2,0.0
1551790915.0,Asport CAPRED,45.0,15.8,0.0
1551791821.0,Asport CAPRED,46.0,16.3,0.0
1551792728.0,Asport CAPRED,45.0,16.4,0.0
1551793637.0,Asport CAPRED,45.0,16.4,0.0
1551794544.0,Asport CAPRED,45.0,16.7,0.0
1551795451.0,Asport CAPRED,48.0,16.7,0.0
1551796358.0,Asport CAPRED,50.0,16.6,0.0
1551797265.0,Asport CAPRED,50.0,16.5,0.0
1551798172.0,Asport CAPRED,48.0,16.1,0.0
1551799079.0,Asport CAPRED,48.0,15.7,0.0
1551799986.0,Asport CAPRED,47.0,15.5,0.0
1551800893.0,Asport CAPRED,52.0,15.4,0.0
1551802707.0,Asport CAPRED,53.0,14.9,0.0
1551803615.0,Asport CAPRED,56.0,14.4,0.0
1551804522.0,Asport CAPRED,58.0,14.1,0.0
1551805430.0,Asport CAPRED,59.0,13.6,0.0
1551806338.0,Asport CAPRED,60.0,12.8,0.0
1551807247.0,Asport CAPRED,62.0,12.2,0.0
1551808155.0,Asport CAPRED,65.0,11.6,0.0
1551809065.0,Asport CAPRED,68.0,10.9,0.0
1551809973.0,Asport CAPRED,71.0,10.6,0.0
1551812703.0,Asport CAPRED,76.0,8.7,0.0
1551813613.0,Asport CAPRED,80.0,8.5,0.0
1551814522.0,Asport CAPRED,81.0,8.3,0.0
1551815434.0,Asport CAPRED,82.0,8.1,0.0
1551816345.0,Asport CAPRED,85.0,8.2,0.0
1551817255.0,Asport CAPRED,85.0,8.0,0.0
1551818166.0,Asport CAPRED,86.0,7.5,0.0
1551819076.0,Asport CAPRED,88.0,7.7,0.0
1551819986.0,Asport CAPRED,89.0,8.1,0.0
1551820895.0,Asport CAPRED,88.0,8.3,0.0
1551821805.0,Asport CAPRED,88.0,8.4,0.0
1551822715.0,Asport CAPRED,87.0,8.6,0.0
1551823626.0,Asport CAPRED,87.0,8.6,0.0
1551825446.0,Asport CAPRED,88.0,8.6,0.0
1551826356.0,Asport CAPRED,87.0,8.6,0.0
1551827267.0,Asport CAPRED,87.0,8.0,0.0
1551828176.0,Asport CAPRED,87.0,7.8,0.0
1551830001.0,Asport CAPRED,88.0,7.7,0.0
1551845480.0,Asport CAPRED,76.0,8.4,0.0
1551847300.0,Asport CAPRED,75.0,8.6,0.0
1551848211.0,Asport CAPRED,75.0,8.7,0.0
1551849121.0,Asport CAPRED,74.0,8.9,0.0
1551850031.0,Asport CAPRED,73.0,8.7,0.0
1551850942.0,Asport CAPRED,73.0,8.6,0.0
1551851852.0,Asport CAPRED,72.0,8.7,0.0
1551852761.0,Asport CAPRED,72.0,8.5,0.0
1551853671.0,Asport CAPRED,72.0,8.3,0.0
1551854580.0,Asport CAPRED,72.0,8.3,0.0
1551855490.0,Asport CAPRED,71.0,8.5,0.0
1551856400.0,Asport CAPRED,71.0,8.7,0.0
1551857310.0,Asport CAPRED,71.0,9.1,0.0
1551858219.0,Asport CAPRED,70.0,9.6,0.0
1551859128.0,Asport CAPRED,70.0,9.9,0.0
